date,open,high,low,close,volume
2024-09-06,252.0,265.9,250.65,253.95,1627539.0
2024-09-09,256.4,258.18,247.1,249.33,1191090.0
2024-09-10,249.0,249.88,244.88,247.18,936263.0
2024-09-11,247.0,255.69,243.36,255.19,1118208.0
2024-09-12,255.88,260.39,252.0,259.84,1097195.0
2024-09-13,260.08,268.78,260.08,266.83,1059461.0
2024-09-16,266.77,267.79,260.26,265.36,906050.0
2024-09-17,265.0,270.44,264.64,268.41,1005373.0
2024-09-18,269.58,274.64,266.55,271.0,1440300.0
2024-09-19,272.99,281.18,269.44,271.0,1744874.0
2024-09-20,271.01,271.01,261.05,263.46,1966172.0
2024-09-23,264.03,265.37,259.53,260.0,1187549.0
2024-09-24,261.25,271.76,261.25,263.55,1488304.0
2024-09-25,264.0,265.95,257.61,260.2,1144392.0
2024-09-26,263.0,270.93,263.0,268.89,1465092.0
2024-09-27,270.0,283.66,268.95,279.9,1847946.0
2024-09-30,282.29,283.0,270.3,270.78,1260937.0
2024-10-01,271.56,271.72,261.75,264.5,1277732.0
2024-10-02,264.0,265.68,259.75,261.45,990009.0
2024-10-03,260.0,262.94,256.5,262.8,1104631.0
2024-10-04,263.41,274.66,262.9,270.51,1339854.0
2024-10-07,270.0,273.84,264.2,272.28,1513913.0
2024-10-08,268.65,279.04,268.0,275.88,1221281.0
2024-10-09,275.14,278.58,272.03,273.51,920833.0
2024-10-10,273.0,274.49,268.16,273.11,1001430.0
2024-10-11,272.95,279.05,272.0,278.52,979602.0
2024-10-14,279.0,287.19,272.9,286.7,1311462.0
2024-10-15,286.51,292.45,285.02,287.13,1179218.0
2024-10-16,288.0,295.36,286.71,294.0,1482000.0
2024-10-17,294.52,295.64,283.45,284.69,1623063.0
2024-10-18,285.24,291.92,282.15,291.55,1137407.0
2024-10-21,291.63,299.16,290.82,297.67,1642611.0
2024-10-22,296.5,304.49,296.0,298.16,1248686.0
2024-10-23,298.0,298.0,290.71,293.0,730388.0
2024-10-24,294.96,302.05,294.62,300.0,714707.0
2024-10-25,302.94,313.09,302.51,304.0,1610398.0
2024-10-28,306.83,310.16,304.59,305.28,1004877.0
2024-10-29,307.06,307.49,303.02,304.82,1033701.0
2024-10-30,304.31,308.8,301.5,304.0,1001158.0
2024-10-31,302.5,303.71,294.2,297.53,1121699.0
2024-11-01,299.16,322.36,297.76,320.26,2532900.0
2024-11-04,319.01,322.43,316.7,318.47,1400355.0
2024-11-05,318.88,320.24,316.19,319.31,810104.0
2024-11-06,322.38,325.0,310.3,314.25,1333533.0
2024-11-07,315.06,323.01,312.31,316.0,1001745.0
2024-11-08,316.08,316.08,308.07,308.98,1236289.0
2024-11-11,310.06,320.7,308.62,318.03,1358683.0
2024-11-12,317.0,322.25,314.12,321.0,673912.0
2024-11-13,320.17,334.35,319.79,328.3,1218514.0
2024-11-14,329.0,334.58,324.53,329.61,959880.0
2024-11-15,328.45,331.32,319.75,320.5,756331.0
2024-11-18,321.34,324.0,307.89,309.0,1179158.0
2024-11-19,308.55,309.49,298.2,302.65,1314593.0
2024-11-20,302.0,309.17,298.67,308.0,900425.0
2024-11-21,307.0,316.5,304.44,315.5,879109.0
2024-11-22,314.0,327.67,312.0,317.25,1069240.0
2024-11-25,319.01,328.71,318.86,324.76,1285352.0
2024-11-26,325.01,326.58,318.24,318.37,653393.0
2024-11-27,319.55,322.86,316.41,319.52,643653.0
2024-11-29,321.9,324.16,318.47,320.66,481664.0
2024-12-02,320.45,337.3,320.45,335.0,1355049.0
2024-12-03,335.0,341.49,329.74,341.49,1107064.0
2024-12-04,340.76,342.94,337.14,341.5,1260028.0
2024-12-05,341.5,382.53,340.69,376.5,2801544.0
2024-12-06,377.0,409.7,372.75,399.05,7443025.0
2024-12-09,399.05,420.21,396.45,405.6,2175918.0
2024-12-10,403.59,407.55,393.0,397.0,1290685.0
2024-12-11,396.8,405.16,396.8,399.02,786182.0
2024-12-12,399.5,399.7,387.66,387.66,899869.0
2024-12-13,385.01,392.6,385.0,391.0,911124.0
2024-12-16,391.5,397.66,389.01,389.09,965324.0
2024-12-17,389.0,391.49,382.0,388.85,796999.0
2024-12-18,391.0,393.6,371.84,372.88,1298668.0
2024-12-19,372.6,382.0,368.66,374.51,1398049.0
2024-12-20,364.0,384.16,363.0,379.8,2062506.0
2024-12-23,379.42,388.41,376.79,383.49,927339.0
2024-12-24,385.56,386.88,378.0,378.0,294042.0
2024-12-26,384.0,389.86,383.6,385.82,620505.0
2024-12-27,384.75,387.48,380.32,387.2,634634.0
2024-12-30,385.0,389.19,377.54,383.37,745894.0
2024-12-31,384.0,386.36,380.26,382.41,613299.0
2025-01-02,385.53,387.67,371.48,372.2,759818.0
2025-01-03,374.0,382.03,372.25,377.22,539451.0
2025-01-06,379.18,396.59,379.18,395.4,989284.0
2025-01-07,395.73,414.82,393.15,394.6,1158300.0
2025-01-08,394.0,394.0,386.18,392.6,563655.0
2025-01-10,393.0,399.5,388.67,395.6,795972.0
2025-01-13,389.89,423.76,389.48,400.2,1351070.0
2025-01-14,400.0,402.9,384.06,388.74,1725204.0
2025-01-15,388.85,396.19,374.4,377.6,1322042.0
2025-01-16,377.55,378.0,367.15,370.59,982485.0
2025-01-17,371.82,379.0,371.8,373.6,791894.0
2025-01-21,375.06,377.73,367.2,372.78,1299675.0
2025-01-22,373.5,383.38,370.0,380.0,1099972.0
2025-01-23,382.5,389.5,379.31,386.45,931610.0
2025-01-24,387.0,400.79,385.73,399.53,1218920.0
2025-01-27,389.96,408.13,389.96,402.9,1483316.0
2025-01-28,404.99,416.0,402.9,409.62,1046739.0
2025-01-29,410.38,413.55,407.6,411.16,571091.0
2025-01-30,412.46,423.32,412.46,421.16,960915.0
2025-01-31,421.85,423.0,412.0,413.2,812295.0
2025-02-03,398.0,413.5,396.03,412.2,985914.0
2025-02-04,410.26,417.91,408.0,414.78,568287.0
2025-02-05,415.22,417.0,411.06,412.8,762394.0
2025-02-06,412.09,417.12,407.74,411.83,780634.0
2025-02-07,413.0,414.14,396.73,397.94,918840.0
2025-02-10,399.31,401.07,387.28,399.71,765000.0
2025-02-11,396.54,403.21,396.54,397.63,504607.0
2025-02-12,397.43,399.78,390.3,395.16,651457.0
2025-02-13,398.0,400.01,390.02,391.06,1061727.0
2025-02-14,390.01,393.54,365.62,367.93,1906472.0
2025-02-18,368.39,373.0,354.05,373.0,1279111.0
2025-02-19,373.01,374.41,362.87,367.19,745110.0
2025-02-20,367.21,369.53,359.1,362.76,851688.0
2025-02-21,367.0,368.0,354.29,358.0,815307.0
2025-02-24,361.99,372.41,360.0,368.0,1080432.0
2025-02-25,367.0,370.25,359.19,366.72,747659.0
2025-02-26,360.99,372.66,360.99,365.5,637125.0
2025-02-27,364.64,371.76,359.3,362.3,854386.0
2025-02-28,361.47,366.54,358.0,365.39,697724.0
2025-03-03,367.0,367.01,345.25,345.25,1002085.0
2025-03-04,347.0,349.56,330.3,345.29,1219323.0
2025-03-05,345.0,350.8,340.84,349.53,888161.0
2025-03-06,348.7,363.88,345.0,347.94,1026046.0
2025-03-07,349.21,353.11,332.76,344.25,955014.0
2025-03-10,340.01,342.61,289.0,332.37,1145873.0
2025-03-11,333.69,334.65,317.71,321.5,1131828.0
2025-03-12,325.5,325.5,315.0,315.77,1020055.0
2025-03-13,315.97,317.25,304.77,310.93,1062918.0
2025-03-14,312.95,316.98,308.66,309.0,883456.0
2025-03-17,309.98,330.42,309.96,327.0,989841.0
2025-03-18,327.27,327.27,319.22,322.9,655882.0
2025-03-19,324.0,330.81,318.56,330.4,571821.0
2025-03-20,327.35,333.01,323.29,324.45,534982.0
2025-03-21,321.0,324.38,311.0,323.5,1160691.0
2025-03-24,327.17,336.36,324.81,335.2,842417.0
