Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
SHW,SHERWIN WILLIAMS,Materials,Equity,"22,351,056.00",0.15,"22,351,056.00","62,475.00",357.76,United States,New York Stock Exchange Inc.,USD,1.00,--
CI,CIGNA,Health Care,Equity,"22,222,694.34",0.15,"22,222,694.34","71,302.00",311.67,United States,New York Stock Exchange Inc.,USD,1.00,--
KKR,KKR AND CO INC,Financials,Equity,"21,604,353.12",0.14,"21,604,353.12","179,319.00",120.48,United States,New York Stock Exchange Inc.,USD,1.00,--
MMM,3M,Industrials,Equity,"21,383,898.67",0.14,"21,383,898.67","144,359.00",148.13,United States,New York Stock Exchange Inc.,USD,1.00,--
CVS,CVS HEALTH CORP,Health Care,Equity,"21,278,040.67",0.14,"21,278,040.67","334,613.00",63.59,United States,New York Stock Exchange Inc.,USD,1.00,--
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"21,267,011.66",0.14,"21,267,011.66","72,502.00",293.33,United States,NASDAQ,USD,1.00,--
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"21,080,483.48",0.14,"21,080,483.48","15,364.00","1,372.07",United States,NASDAQ,USD,1.00,"Jan 01, 1970"
CTAS,CINTAS CORP,Industrials,Equity,"20,983,331.16",0.14,"20,983,331.16","92,202.00",227.58,United States,NASDAQ,USD,1.00,--
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"20,978,783.55",0.14,"20,978,783.55","14,409.00","1,455.95",United States,New York Stock Exchange Inc.,USD,1.00,--
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"20,379,290.10",0.13,"20,379,290.10","119,667.00",170.30,United States,New York Stock Exchange Inc.,USD,1.00,--
MCO,MOODYS CORP,Financials,Equity,"20,269,597.29",0.13,"20,269,597.29","42,047.00",482.07,United States,New York Stock Exchange Inc.,USD,1.00,--
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"20,048,265.50",0.13,"20,048,265.50","93,815.00",213.70,United States,NASDAQ,USD,1.00,--
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"19,956,587.84",0.13,"19,956,587.84","72,296.00",276.04,United States,New York Stock Exchange Inc.,USD,1.00,--
WMB,WILLIAMS INC,Energy,Equity,"19,714,941.54",0.13,"19,714,941.54","322,614.00",61.11,United States,New York Stock Exchange Inc.,USD,1.00,--
AON,AON PLC CLASS A,Financials,Equity,"19,611,517.60",0.13,"19,611,517.60","52,370.00",374.48,United States,New York Stock Exchange Inc.,USD,1.00,--
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"19,573,078.14",0.13,"19,573,078.14","313,822.00",62.37,United States,New York Stock Exchange Inc.,USD,1.00,--
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"19,494,355.64",0.13,"19,494,355.64","215,122.00",90.62,United States,New York Stock Exchange Inc.,USD,1.00,--
ITW,ILLINOIS TOOL INC,Industrials,Equity,"19,056,456.74",0.12,"19,056,456.74","77,699.00",245.26,United States,New York Stock Exchange Inc.,USD,1.00,--
SNPS,SYNOPSYS INC,Information Technology,Equity,"19,054,181.16",0.12,"19,054,181.16","40,866.00",466.26,United States,NASDAQ,USD,1.00,--
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"18,999,959.52",0.12,"18,999,959.52","193,719.00",98.08,United States,New York Stock Exchange Inc.,USD,1.00,--
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"18,990,685.21",0.12,"18,990,685.21","266,237.00",71.33,United States,NASDAQ,USD,1.00,--
HCA,HCA HEALTHCARE INC,Health Care,Equity,"18,816,673.32",0.12,"18,816,673.32","49,122.00",383.06,United States,New York Stock Exchange Inc.,USD,1.00,--
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"18,665,700.18",0.12,"18,665,700.18","108,138.00",172.61,United States,New York Stock Exchange Inc.,USD,1.00,--
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"18,616,043.97",0.12,"18,616,043.97","105,587.00",176.31,United States,New York Stock Exchange Inc.,USD,1.00,--
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"18,480,976.12",0.12,"18,480,976.12","43,772.00",422.21,United States,New York Stock Exchange Inc.,USD,1.00,--
USB,US BANCORP,Financials,Equity,"18,362,358.14",0.12,"18,362,358.14","413,753.00",44.38,United States,New York Stock Exchange Inc.,USD,1.00,--
